"Release_Number","Localized_Title_EN","System","Publisher","Country","Language","Genre","Release_Date","Dump_Group","Dump_Directory_Name","Dump_File_Name","Dump_Date","Internal_Title","Internal_Serial","Internal_Version","Complement_Check","CRC32","ROM_Size","Save_Type","Comments","Release_Notes"
"1323","Konjiki no Gashbell","GameBoy Advance","Banpresto","Japan","Japanese","","","Eurasia","","eur-gash.zip","2003-12-10","GASH-ZAKERU","AGB-A4GJ-JPN","1.0","ACh","64FAB050h","64 Mbit","EEPROM_V124 (64Kbit)","",""
"1324","Bokujou Monogatari - Mineral Town for Girls","GameBoy Advance","Victor","Japan","Japanese","RPG","","Cezar","","c-boku.zip","2003-12-12","BOKUMONOGBA","AGB-BFGJ-JPN","1.0","92h","7C26672Fh","128 Mbit","SRAM_V113 (256Kbit)","",""
"1325","Spy Muppets - License to Croak","GameBoy Advance","TDK","USA","Multi 6","Action","","Rising Sun","","rs-smltc.zip","2003-12-13","SPY MUPPETS","AGB-BSSE-USA","1.0","51h","848F9D42h","64 Mbit","No Save","",""
"1326","Croket 3 Guranyuoukoku No Nazo","GameBoy Advance","Konami","Japan","Japanese","","","Rising Sun","","rs-c3gnn.zip","2003-12-14","CROKET!3","AGB-B3KJ-JPN","1.0","B6h","AEC6D07Bh","128 Mbit","SRAM_F_V103 (256Kbit)","",""
"1327","Gegege no Kitaro","GameBoy Advance","Konami","Japan","Japanese","","","WRG","","wrg-dt.zip","2003-12-14","KITARO","AGB-BGKJ-JPN","1.0","F4h","7F2B2657h","128 Mbit","SRAM_V112 (256Kbit)","",""
"1328","The King of Fighters EX2 - Howling Blood","GameBoy Advance","Atlus","USA","English","Fighting","","Mode7","","m7-kofex2.zip","2003-12-15","KOFEX2HOWLIN","AGB-AEXE-USA","1.0","27h","15F8F9D5h","64 Mbit","EEPROM_V122 (4Kbit)","",""
"1329","Wagamama Fairy Mirumo De Pon - 8 Nin no Toki no Yousei","GameBoy Advance","Konami","Japan","Japanese","","","Rising Sun","","rs-wfm3.zip","2003-12-15","MIRUMODEPON3","AGB-BMYJ-JPN","1.0","28h","5E5C008Ch","64 Mbit","SRAM_F_V103 (256Kbit)","",""
"1330","Super Donkey Kong","GameBoy Advance","Nintendo","Japan","Japanese","","","Rising Sun","","rs-sdk.zip","2003-12-15","RAREDKC1","AGB-A5NJ-JPN","1.0","B5h","2206B04Dh","64 Mbit","EEPROM_V122 (4Kbit)","",""
"1331","Finding Nemo","GameBoy Advance","Yuke's","Japan","Japanese","","","Rising Sun","","rs-fnj.zip","2003-12-15","FINDING NEMO","AGB-BFNJ-JPN","1.0","6Ah","F895BA2Dh","64 Mbit","No Save","",""
"1332","Astro Boy - Tetsuwan Atom","GameBoy Advance","Sega","Japan","Japanese","Action","","Eurasia","","eur-aboy.zip","2003-12-16","ASTROBOY","AGB-BTAJ-JPN","1.0","35h","65FC3C6Dh","64 Mbit","EEPROM_V124 (64Kbit) (Patched)","",""
"1333","Disney Sports Snowboarding","GameBoy Advance","Konami","USA","English","Sports","","Supplex","","sx-dssup.zip","2003-12-18","DS_SNOWBD_U","AGB-A5DE-USA","1.0","66h","4733693Ch","128 Mbit","EEPROM_V122 (4Kbit)","",""
"1334","Crash Bandicoot Advance 2 - Gurugurusaimin Dai Panic","GameBoy Advance","Konami","Japan","Japanese","Platform","","Rising Sun","","rs-cba2.zip","2003-12-18","CRASH2","AGB-AC8J-JPN","1.0","33h","04FBA7CFh","64 Mbit","EEPROM_V124 (4Kbit)","",""
"1335","Max Payne","GameBoy Advance","RockStar","USA","English","Action","","Mode7","","m7-payne.zip","2003-12-18","MAX PAYNE","AGB-BMEE-USA","1.0","CBh","296E1092h","128 Mbit","EEPROM_V124 (4Kbit)","",""
